rank,player,time,platform,version
1,RMGBread,14m 14s 690ms,PC,1.41
,RMGBread,14m 21s 630ms,PC,1.3
,RMGBread,14m 36s 330ms,PC,1.3
,RMGBread,14m 38s 610ms,PC,1.3
,RMGBread,14m 49s 240ms,PC,1.3
2,diggity,14m 58s 750ms,PC,1.3
,RMGBread,15m 01s 290ms,PC,1.1
3,Meister_Moehrchen,15m 16s 030ms,PC,1.3
,RMGBread,15m 17s 160ms,PC,1.21
,RMGBread,15m 20s 070ms,PC,1.2
4,Acute,15m 25s 480ms,PC,1.3
,diggity,15m 27s 800ms,PC,1.3
5,Nezuruic,15m 28s 040ms,PC,1.41
,Meister_Moehrchen,15m 34s 540ms,PC,1.3
,RMGBread,15m 41s 560ms,PC,1.2
,Meister_Moehrchen,15m 47s 790ms,PC,1.3
,Nezuruic,15m 52s 550ms,PC,1.3
6,AsodiacAvye,15m 56s 650ms,PC,1.2
7,Marviator,15m 57s 800ms,PC,1.41
8,TheOrangeWhale,15m 58s 300ms,PC,1.3
,Acute,15m 58s 430ms,PC,1.2
,Meister_Moehrchen,15m 59s 540ms,PC,1.3
,diggity,16m 10s 960ms,PC,1.21
,RMGBread,16m 11s 130ms,PC,1.2
9,enmysune,16m 14s 320ms,PC,1.3
10,deltatee,16m 20s 140ms,PC,1.3
11,IcyPigs,16m 23s 820ms,PC,1.3
,Nezuruic,16m 24s 680ms,PC,1.21
,enmysune,16m 29s 990ms,PC,1.3
,RMGBread,16m 30s 150ms,PC,1.2
,Meister_Moehrchen,16m 30s 410ms,PC,1.21
,diggity,16m 31s 440ms,PC,1.2
,Meister_Moehrchen,16m 47s 140ms,PC,1.21
,RMGBread,16m 49s 210ms,PC,1.2
12,Dash2,16m 55s 520ms,PC,1.2
13,xXJamal_HunterXx,16m 56s 090ms,PC,1.41
14,WaterArko,17m 00s 970ms,PC,1.3
,Nezuruic,17m 03s 650ms,PC,1.2
,TheOrangeWhale,17m 11s 800ms,PC,1.3
,Marviator,17m 13s 290ms,PC,1.3
15,Sirracha,17m 16s 940ms,PC,1.2
,Meister_Moehrchen,17m 17s 410ms,PC,1.21
16,stone50,17m 22s 220ms,PC,1.3
17,JayTheBusinessGoose,17m 26s 830ms,PC,1.3
,IcyPigs,17m 27s 390ms,PC,1.21
,diggity,17m 33s 170ms,PC,1.2
,TheOrangeWhale,17m 35s 410ms,PC,1.21
,enmysune,17m 36s 080ms,PC,1.21
,RMGBread,17m 37s 030ms,PC,1.2
,AsodiacAvye,17m 38s 760ms,PC,1.2
,stone50,17m 43s 720ms,PC,1.3
,AsodiacAvye,17m 44s 880ms,PC,1.2
,AsodiacAvye,17m 47s 830ms,PC,1.2
,deltatee,17m 49s 070ms,PC,1.2
,diggity,17m 50s 200ms,PC,1.2
,stone50,17m 54s 710ms,PC,1.3
,AsodiacAvye,17m 58s 130ms,PC,1.2
,RMGBread,18m 07s 440ms,PC,1.2
,Meister_Moehrchen,18m 07s 890ms,PC,1.2
,enmysune,18m 08s 950ms,PC,1.21
,stone50,18m 19s 120ms,PC,1.3
18,Martinuz_64,18m 25s 330ms,PC,1.41
,WaterArko,18m 26s 680ms,PC,1.3
,Meister_Moehrchen,18m 28s 410ms,PC,1.2
19,ShewnaEthan,18m 29s 860ms,PC,1.41
,Sirracha,18m 32s 240ms,PC,1.2
20,Linode,18m 35s 800ms,PC,1.2
,stone50,18m 36s 530ms,PC,1.21
21,Polill00,18m 42s 880ms,PC,1.2
,enmysune,18m 47s 640ms,PC,1.21
,IcyPigs,18m 48s 400ms,PC,1.2
22,zhen,18m 53s 220ms,PC,1.2
,Nezuruic,18m 54s 720ms,PC,1.2
,deltatee,18m 54s 730ms,PC,1.2
23,peachey2k2,18m 56s 840ms,PC,1.2
24,PlasmaBlade,18m 57s 540ms,PC,1.21
,Marviator,18m 58s 580ms,PC,1.21
25,artisiole,18m 59s 630ms,PC,1.21
,Dash2,19m 00s 230ms,PC,1.2
,Meister_Moehrchen,19m 00s 940ms,PC,1.2
26,DeadCactus,19m 03s 550ms,PC,1.21
,AsodiacAvye,19m 05s 550ms,PC,1.2
27,bodobozo,19m 05s 560ms,PC,1.21
28,cshift,19m 07s 270ms,PC,1.41
,Martinuz_64,19m 13s 120ms,PC,1.21
,ShewnaEthan,19m 13s 470ms,PC,1.4
,IcyPigs,19m 13s 920ms,PC,1.2
29,YairMat1,19m 17s 570ms,PC,1.2
,Meister_Moehrchen,19m 22s 080ms,PC,1.2
,Polill00,19m 23s 830ms,PC,1.2
,deltatee,19m 25s 930ms,PC,1.2
30,FlippyDolphin,19m 28s 500ms,PC,1.2
31,EpicGamer2469,19m 28s 970ms,PC,1.21
,AsodiacAvye,19m 33s 090ms,PC,1.2
,RMGBread,19m 34s 470ms,PC,1.2
,stone50,19m 34s 970ms,PC,1.21
32,BeatThisTimeIDareYou,19m 36s 950ms,PS4,1.2
,peachey2k2,19m 44s 240ms,PC,1.2
,Sirracha,19m 48s 240ms,PC,1.2
33,SuperS0ul,19m 50s 430ms,PC,1.2
,diggity,19m 51s 560ms,PC,1.2
,stone50,19m 51s 840ms,PC,1.21
34,TaniaAnehina,19m 57s 730ms,PC,1.21
,Dash2,20m 07s 890ms,PC,1.2
,AsodiacAvye,20m 12s 390ms,PC,1.2
,Linode,20m 16s 540ms,PC,1.2
,AsodiacAvye,20m 18s 860ms,PC,1.2
,YairMat1,20m 24s 710ms,PC,1.2
,Polill00,20m 28s 420ms,PC,1.2
35,ixelsel,20m 32s 060ms,PC,1.21
36,Celestrom,20m 34s 720ms,Switch,Console 1.0
37,AdamW,20m 36s 550ms,PC,1.21
,stone50,20m 36s 840ms,PC,1.21
38,egglephant,20m 38s 940ms,PC,1.2
,PlasmaBlade,20m 46s 770ms,PC,1.21
,IcyPigs,20m 47s 320ms,PC,1.2
39,Fl1pNatic,20m 53s 400ms,PC,1.2
,EpicGamer2469,20m 59s 670ms,PC,1.21
,Fl1pNatic,21m 00s 090ms,PC,1.2
,Sirracha,21m 05s 210ms,PC,1.2
,ShewnaEthan,21m 06s 500ms,PC,1.3
40,TheDoginator,21m 17s 460ms,PC,1.3
41,Hon_,21m 18s 950ms,PC,1.2
42,Wolf43,21m 24s 550ms,PC,1.3
43,nelsonboi8,21m 27s 810ms,PC,1.3
44,WarriorOfJelly,21m 29s 130ms,PC,1.3
,Meister_Moehrchen,21m 32s 430ms,PC,1.2
,Dash2,21m 36s 730ms,PC,1.2
,peachey2k2,21m 39s 510ms,PC,1.2
45,SkillcraftHD,21m 41s 520ms,PC,1.21
46,Skyborn,21m 43s 730ms,PC,1.3
47,UnderGame,21m 44s 370ms,PC,1.2
,stone50,21m 45s 160ms,PC,1.2
,BeatThisTimeIDareYou,21m 54s 300ms,PC,1.21
48,inarsy,22m 04s 440ms,PC,1.2
49,xXWischmoppXx,22m 04s 790ms,PC,1.2
50,nTerior,22m 13s 720ms,PC,1.3
51,Jan_Hunter,22m 14s 870ms,PC,1.3
,Celestrom,22m 15s 290ms,Switch,1.3
,Fl1pNatic,22m 17s 210ms,PC,1.2
52,MilkshakeDev,22m 17s 310ms,PC,1.2
,Martinuz_64,22m 18s 650ms,PC,1.2
,PlasmaBlade,22m 20s 270ms,PC,1.2
,deltatee,22m 22s 200ms,PC,1.2
53,ballerbunnyXD,22m 31s 570ms,PC,1.2
54,JohnyK_413,22m 34s 770ms,PC,1.2
,Meister_Moehrchen,22m 45s 710ms,PC,1.2
55,Baki0,22m 50s 350ms,PC,1.2
,Celestrom,22m 52s 910ms,Switch,Console 1.0
,WarriorOfJelly,22m 55s 330ms,PC,1.21
,diggity,22m 55s 810ms,PC,1.2
56,TheMaydayMan,22m 56s 780ms,PC,1.21
57,Elliott7008,23m 06s 010ms,Switch,Console 1.0
,DeadCactus,23m 08s 020ms,PC,1.21
,egglephant,23m 11s 620ms,PC,1.2
,stone50,23m 18s 140ms,PC,1.2
,Sirracha,23m 19s 670ms,PC,1.2
,WarriorOfJelly,23m 22s 190ms,PC,1.2
58,chwair,23m 22s 570ms,PC,1.2
,Martinuz_64,23m 26s 700ms,PC,1.2
59,spinie1,23m 35s 220ms,PC,1.3
,WarriorOfJelly,23m 39s 250ms,PC,1.2
60,Westienz,23m 39s 330ms,PC,1.2
61,BurntPudding,23m 41s 310ms,PC,1.21
,ixelsel,23m 44s 090ms,PC,1.21
,ShewnaEthan,24m 03s 540ms,PC,1.21
62,PeterCrawley,24m 06s 760ms,PC,1.2
,IcyPigs,24m 09s 110ms,PC,1.2
,SkillcraftHD,24m 23s 020ms,PC,1.2
63,TheBrainyOne23,24m 27s 330ms,PC,1.21
,Jan_Hunter,24m 28s 740ms,PC,1.21
64,MyNameisVelk,24m 35s 850ms,PC,1.2
65,ronush,24m 41s 420ms,PC,1.2
66,Louiszan,24m 46s 600ms,PC,1.21
67,fatdump,24m 51s 390ms,PC,1.2
68,Atemit,24m 52s 650ms,PC,1.21
,PeterCrawley,25m 29s 150ms,PC,1.2
,ballerbunnyXD,25m 30s 810ms,PC,1.2
69,Hoferbeck,25m 36s 800ms,PC,1.2
70,Hairybobkat,25m 38s 076ms,PC,1.3
,Fl1pNatic,25m 46s 250ms,PC,1.2
,xXWischmoppXx,25m 50s 034ms,PC,1.2
71,Brokencalculator14,25m 51s 730ms,PC,1.2
,spinie1,25m 52s 150ms,PC,1.2
,PlasmaBlade,25m 56s 440ms,PC,1.2
,egglephant,25m 57s 340ms,PC,1.2
72,ExistentBeing,26m 02s 430ms,PC,1.21
73,givememy66thplace,26m 03s 030ms,PC,1.3
,Martinuz_64,26m 07s 730ms,PC,1.2
,MilkshakeDev,26m 10s 130ms,PC,1.2
,ShewnaEthan,26m 13s 830ms,PC,1.21
74,ZenReal,26m 20s 160ms,PC,1.41
75,gareb3ar,26m 50s 380ms,PC,1.3
76,ToasterKelp,26m 50s 690ms,PC,1.2
77,JeremyGamer13,26m 57s 540ms,PC,1.2
,WarriorOfJelly,27m 07s 550ms,PC,1.2
78,ChipCors,27m 09s 900ms,PC,1.21
,ballerbunnyXD,27m 28s 620ms,PC,1.2
79,Aka_Me,27m 44s 640ms,PC,1.21
,nTerior,27m 59s 010ms,PC,1.2
,PeterCrawley,28m 09s 510ms,PC,1.2
80,weekmold07,28m 18s 190ms,PC,1.2
81,LuckyEnder,28m 27s 640ms,PC,1.2
,gareb3ar,28m 34s 650ms,PC,1.3
,ShewnaEthan,28m 39s 690ms,PC,1.21
82,Sirfrogs,28m 44s 710ms,PC,1.3
,Wolf43,28m 45s 690ms,PC,1.3
,TheMaydayMan,28m 46s 500ms,PC,1.2
83,MrFlovs,28m 52s 760ms,PC,1.2
84,Kitnight,29m 09s 470ms,PS4,Console 1.0
,artisiole,29m 12s 210ms,PC,1.2
85,i_am_last,29m 16s 020ms,PC,1.3
,Atemit,29m 35s 270ms,PC,1.2
,inarsy,29m 40s 240ms,PC,1.2
86,8_Man,29m 41s 020ms,PC,1.2
,xXWischmoppXx,29m 42s 260ms,PC,1.2
87,VERTIGOdivine,29m 55s 940ms,PC,1.2
88,OssoAce,30m 43s 240ms,PC,1.2
,i_am_last,31m 19s 160ms,PC,1.21
,IcyPigs,31m 27s 040ms,PC,1.2
89,SelfindulgentNonsens,32m 27s 750ms,PC,1.21
,BurntPudding,32m 29s 310ms,PC,1.2
90,SquarePancakes1,33m 07s 200ms,PC,1.2
,MyNameisVelk,33m 13s 630ms,PC,1.2
,PeterCrawley,35m 18s 490ms,PC,1.2
,ballerbunnyXD,35m 37s 110ms,PC,1.2
,PeterCrawley,36m 28s 570ms,PC,1.2
91,FinnCreates,38m 10s 040ms,PC,1.3
